@RELATION detection
@ATTRIBUTE area NUMERIC
@ATTRIBUTE min_axis NUMERIC
@ATTRIBUTE max_axis NUMERIC
@ATTRIBUTE intensity NUMERIC
@ATTRIBUTE rel_mean_depth NUMERIC
@ATTRIBUTE rel_max_depth NUMERIC
@ATTRIBUTE valid_depth_readings NUMERIC
@ATTRIBUTE class {M20_horizontal, R20_horizontal, F20_20_G_horizontal, F20_20_B_horizontal, V20_horizontal, M20_100_horizontal, S40_40_G_horizontal, S40_40_B_horizontal, M30_horizontal}
@DATA
386.0,17.0,26.83281573,52.0540540541,-1.13348666607e-05,0.000488658696038,44,M20_horizontal
611.0,26.0,28.0,79.1492537313,0.682556644548,0.682556644548,0,M20_horizontal
444.0,21.0,26.0,79.974025974,-0.00064070982631,-0.000334813179473,85,M20_horizontal
492.0,23.0,26.0,75.0376344086,-0.000491433506015,0.000525557107114,118,M20_horizontal
546.0,25.0,26.0,98.7466666667,0.678579919407,0.678579919407,0,M20_horizontal
532.0,23.4093998214,28.7923600978,72.5270935961,-0.000697602440528,0.00216529661295,124,M20_horizontal
573.0,24.0,28.0,83.0894308943,0.680669359743,0.680669359743,0,M20_horizontal
442.0,19.8494332413,25.495097568,70.8161764706,-0.000638358988649,-0.000167776811991,85,M20_horizontal
370.0,17.4928556845,27.4590604355,42.4516129032,6.24335001386e-05,0.000748138957553,35,M20_horizontal
430.0,19.6977156036,26.0,107.76056338,-0.000996085446637,0.000993261422812,94,M20_horizontal
595.5,26.0,28.0,88.8605577689,0.680753904511,0.680753904511,0,M20_horizontal
495.5,23.0,26.0,80.4921465969,-0.00026074214124,0.00236019719455,153,M20_horizontal
474.0,22.0,26.0,127.0,-0.000550737261265,0.00193622715109,115,M20_horizontal
532.5,24.0,26.0,86.9819004525,0.679414583494,0.679414583494,0,M20_horizontal
549.0,26.0,27.0,94.162037037,-0.000682535017429,3.17423116593e-05,147,M20_horizontal
600.5,26.0,28.0,84.4085603113,0.679998043459,0.679998043459,0,M20_horizontal
409.0,20.5182845287,24.0416305603,125.299145299,-9.95337123603e-05,0.000300461137798,90,M20_horizontal
604.0,27.0,27.0,91.9034749035,-0.000502793759511,0.000937486649491,134,M20_horizontal
511.0,25.0,25.0,90.6923076923,-0.00111201365407,0.00111874565482,130,M20_horizontal
528.0,22.0,28.0,122.175925926,-0.000710858896808,0.0026947312606,143,M20_horizontal
486.5,20.0,36.0,54.1503267974,0.0380039309084,0.0542196012509,153,M20_horizontal
441.0,22.0,25.0,121.453333333,-0.000352257283629,-1.16003638354e-05,91,M20_horizontal
569.5,25.0,28.0,113.504273504,-0.000106074179776,0.000851178453082,117,M20_horizontal
512.5,25.0,26.0,107.396825397,-0.000495123541001,2.86792389682e-05,126,M20_horizontal
407.0,18.0277563773,27.5136329844,52.6693548387,0.000446040620403,0.00209236888357,82,M20_horizontal
558.0,23.0,28.0,112.462184874,-0.000708640104844,0.00510518255922,145,M20_horizontal
511.5,23.0,27.0,126.464646465,0.000654609007128,0.0015397327465,148,M20_horizontal
553.0,26.0,26.0,88.0796460177,-0.00044700921353,0.000207658616766,139,M20_horizontal
567.0,25.0,27.0,81.2384937238,0.682062505234,0.682062505234,0,M20_horizontal
556.0,25.4558441227,26.8700576851,86.6308411215,-0.000276127407633,1.75751047209e-05,143,M20_horizontal
518.0,24.0416305603,26.8700576851,79.0,-0.000536915287723,4.06135388509e-06,122,M20_horizontal
508.5,22.2036033112,28.2842712475,83.4871794872,-1.90226879335e-05,0.000945250611556,112,M20_horizontal
537.5,24.0,26.0,90.2455357143,0.680614585926,0.680614585926,0,M20_horizontal
544.0,21.0,41.0,56.2737430168,0.0363643721494,0.0593643887082,179,M20_horizontal
588.5,25.0,28.0,92.5511811024,0.678017859539,0.678017859539,0,M20_horizontal
580.5,25.0,27.0,99.4960629921,0.671058471164,0.671058471164,0,M20_horizontal
437.5,19.0,26.0,128.76969697,-0.000945244150376,-0.000260568280735,111,M20_horizontal
532.0,23.2594066992,28.1780056072,64.815920398,-0.000374101645345,0.00193142698657,108,M20_horizontal
476.0,21.3775583264,27.4590604355,69.8538011696,0.00139483758308,0.00239482470848,116,M20_horizontal
573.0,24.0,28.0,111.758196721,0.673889126028,0.673889126028,0,M20_horizontal
560.0,25.0,28.0,120.46875,-0.000459770581734,0.0179325804587,130,M20_horizontal
484.5,21.0,27.0,81.3544973545,-0.000159760414396,6.54619111433e-05,111,M20_horizontal
499.0,21.0,28.0,124.443298969,-0.000970999034339,0.00145184176892,149,M20_horizontal
422.5,19.6977156036,29.1547594742,117.810344828,0.000696210934567,0.00263172308249,93,M20_horizontal
563.5,26.0,27.0,74.6929824561,-0.000322870020082,0.0029841614148,114,M20_horizontal
510.0,20.8806130178,28.8617393793,88.9468085106,-0.000159200777383,0.00133678186956,125,M20_horizontal
561.0,26.0,26.0,103.939130435,0.676659272323,0.676659272323,0,M20_horizontal
