@RELATION detection
@ATTRIBUTE area NUMERIC
@ATTRIBUTE min_axis NUMERIC
@ATTRIBUTE max_axis NUMERIC
@ATTRIBUTE intensity NUMERIC
@ATTRIBUTE rel_mean_depth NUMERIC
@ATTRIBUTE rel_max_depth NUMERIC
@ATTRIBUTE valid_depth_readings NUMERIC
@ATTRIBUTE class {M20_horizontal, R20_horizontal, F20_20_G_horizontal, F20_20_B_horizontal, V20_horizontal, M20_100_horizontal, S40_40_G_horizontal, S40_40_B_horizontal, M30_horizontal}
@DATA
860.5,32.0,33.0,77.2146118721,0.00181864277883,0.0171633307139,264,M20_horizontal
862.0,30.0,35.0,78.2173913043,-0.000111158205115,0.00332001686096,276,M20_horizontal
832.0,30.0,34.0,70.6992840095,-0.000403898028279,0.0018580841857,229,M20_horizontal
866.0,31.0,35.0,77.6296296296,0.00030766079092,0.00327795518464,303,M20_horizontal
859.0,30.0,36.0,83.044600939,0.00060236993797,0.00299015268683,245,M20_horizontal
857.5,31.0,35.0,76.3262910798,0.000133710381747,0.00218089483678,233,M20_horizontal
852.0,30.0,35.0,81.1790697674,-0.000166800554659,0.00292502135038,305,M20_horizontal
849.0,30.0,35.0,78.2,-1.42922431883e-05,0.00420833855867,274,M20_horizontal
867.0,31.0,35.0,76.7793103448,0.000870962977892,0.0025921032617,104,M20_horizontal
858.5,30.0,35.0,90.0137931034,-0.000624287387745,0.00203332046668,295,M20_horizontal
836.5,29.0,35.0,75.5071090047,1.61999561676e-05,0.00244425347931,278,M20_horizontal
875.5,31.0,35.0,83.9751693002,-0.000182777678994,0.00335689192932,126,M20_horizontal
845.5,31.0,34.0,78.1880952381,-0.000186377243668,0.00207832227151,272,M20_horizontal
870.0,30.0,35.0,77.5861297539,0.000662658327335,0.00267169892788,111,M20_horizontal
832.0,29.0,34.0,78.4564705882,0.00168880394558,0.0201478028011,329,M20_horizontal
874.0,31.0,35.0,81.036036036,-0.000148257185088,0.00153133341975,309,M20_horizontal
870.0,28.6356421266,37.8549864615,93.9497716895,-0.000238123660286,0.00291120633483,288,M20_horizontal
877.5,31.0,35.0,81.3266219239,0.00106461199099,0.00491282941872,112,M20_horizontal
849.0,29.0,36.0,65.0917647059,5.59452092314e-05,0.00257002651691,249,M20_horizontal
896.0,28.8617393793,39.0512483795,105.189130435,0.000259702193451,0.0028457721913,273,M20_horizontal
860.0,31.0,34.0,80.9061784897,-4.03165248253e-06,0.00346076578051,142,M20_horizontal
848.5,29.0,35.0,78.1454965358,-0.00022974227248,0.00119423987092,250,M20_horizontal
893.5,32.0,35.0,81.3942731278,0.00220778773164,0.00402921680119,112,M20_horizontal
885.0,31.0,35.0,103.356828194,-0.000221124018285,0.00233445695833,279,M20_horizontal
853.0,30.0,35.0,88.4149184149,-0.000160599435475,0.00398834089438,235,M20_horizontal
884.0,32.0,35.0,81.5538116592,-0.000606545771097,0.00225160986959,275,M20_horizontal
866.5,29.0688837075,37.0540146273,100.736842105,0.000359286009081,0.00279275563202,233,M20_horizontal
874.0,31.0,35.0,100.04494382,0.00221772932593,0.0174901488384,279,M20_horizontal
860.5,30.0,35.0,93.4164759725,0.000274673356747,0.00307168920835,266,M20_horizontal
874.5,28.2842712475,37.3363094052,99.309255079,0.000301699060669,0.00367435028678,212,M20_horizontal
881.5,29.8328677804,36.8781778292,102.614512472,0.000269279241858,0.00221175023321,278,M20_horizontal
838.5,30.0,35.0,75.2560386473,0.000168249957936,0.00291970581514,338,M20_horizontal
858.0,29.0,36.0,101.788505747,0.000268227078509,0.00529335925976,239,M20_horizontal
867.0,29.1547594742,37.6961536499,100.779816514,0.000629928551222,0.00153781159928,228,M20_horizontal
818.5,29.0,34.0,77.8442822384,-0.000176352804761,0.0012671068719,230,M20_horizontal
